x,split,true_hidden_structure,baseline_prediction,learned_residual,corrected_prediction
0.0,test,0.28,1.4352777583549603,0.25480148658672847,1.6900792449416888
0.015018773466833541,train,0.2999533287543497,1.4446952968472757,0.27295034940522855,1.7176456462525043
0.030037546933667083,train,0.31916507109924797,1.4541128353395913,0.2904318344654588,1.7445446698050502
0.04505632040050062,train,0.3376254947078673,1.4635303738319068,0.3072451051943505,1.7707754790262573
0.060075093867334166,test,0.3553267765551746,1.4729479123242222,0.3233907622924853,1.7963386746167074
0.0750938673341677,train,0.37226299867836804,1.4823654508165378,0.3388707871344589,1.8212362379509968
0.09011264080100125,train,0.38843013901867235,1.4917829893088532,0.35368848308924167,1.845471472398095
0.10513141426783479,train,0.4038260573842357,1.5012005278011686,0.3678484151014211,1.8690489429025896
0.12015018773466833,test,0.41845047658655316,1.510618066293484,0.3813563478691774,1.8919744141626613
0.13516896120150187,train,0.43230495881536807,1.5200356047857997,0.39421918294797625,1.9142547877337759
0.1501877346683354,train,0.4453928773293578,1.529453143278115,0.40644489510032417,1.9358980383784392
0.16520650813516896,train,0.45771938355204717,1.5388706817704305,0.418042468201631,1.9569131499720616
0.1802252816020025,test,0.46929136967428786,1.5482882202627462,0.429021831000345,1.9773100512630912
0.19524405506883605,train,0.48011742687626763,1.5577057587550616,0.43939379301717957,1.9970995517722412
0.21026282853566958,train,0.49020779929332636,1.567123297247377,0.44916998085355636,2.0162932781009335
0.22528160200250313,train,0.4995743338608402,1.5765408357396926,0.45836277516345986,2.0349036109031524
0.24030037546933666,test,0.5082304261840571,1.585958374232008,0.46698524852587414,2.052943622757882
0.2553191489361702,train,0.5161909625889957,1.5953759127243234,0.4750511044369689,2.0704270171612924
0.27033792240300375,train,0.5234722585203322,1.604793451216639,0.48257461762238035,2.0873680688390195
0.2853566958698373,train,0.5300919934615762,1.6142109897089545,0.4895705758504088,2.1037815655593635
0.3003754693366708,test,0.5360691425617334,1.62362852820127,0.4960542234068986,2.1196827516081687
0.31539424280350437,train,0.5414239051610767,1.6330460666935855,0.5020412063720995,2.135087273065685
0.3304130162703379,train,0.5461776304165449,1.642463605185901,0.5075475198191011,2.150011125005002
0.3454317897371715,train,0.5503527402346606,1.6518811436782164,0.5125894570326087,2.164470600710825
0.360450563204005,test,0.5539726497266854,1.6612986821705318,0.5171835608260599,2.1784822429965915
0.37546933667083854,train,0.5570616854069723,1.6707162206628474,0.5213465770144795,2.192062797677327
0.3904881101376721,train,0.5596450013611513,1.6801337591551628,0.5250954100802183,2.2052291692353814
0.4055068836045056,train,0.5617484936158462,1.6895512976474782,0.5284470810489058,2.217998378696384
0.42052565707133915,test,0.5633987129460802,1.6989688361397939,0.531418687573755,2.230387523713549
0.4355444305381727,train,0.5646227763603505,1.7083863746321093,0.534027366207869,2.2424137408399782
0.45056320400500627,train,0.565448277506561,1.717803913124425,0.5362902568265691,2.254094169950994
0.46558197747183977,train,0.5659031962445451,1.7272214516167401,0.5382244691450911,2.2654459207618314
